Competition,Matchday,Venue,Team,Opponent,Opponent_Position,Result,Position,Minute,At_Score,Type_of_Goal
LaLiga,25,H,FC Barcelona,(1.),Sevilla FC,Sevilla FC  (10.),2:1,CF,60',2:1
LaLiga,26,A,FC Barcelona,(1.),Real Madrid,Real Madrid  (3.),2:1,CF,18',1:1
LaLiga,27,H,FC Barcelona,(1.),Deportivo de La Coruña,Dep. La Coruña  (20.),2:0,CF,88',2:0
UEFA Champions League,Achtelfinale,H,FC Barcelona,AC Milan,AC Milan,4:0,CF,5',1:0,Left-footed shot
40',2:0,Left-footed shot,,,,,,,,
LaLiga,28,H,FC Barcelona,(1.),Rayo Vallecano,Rayo Vallecano  (8.),3:1,CF,40',2:0
57',3:0,Left-footed shot,,,,,,,,
LaLiga,29,A,FC Barcelona,(1.),Celta de Vigo,Celta de Vigo  (19.),2:2,CF ,73',1:2
UEFA Champions League,Viertelfinale,A,FC Barcelona,Paris Saint-Germain,Paris SG,2:2,CF,38',0:1,Left-footed shot
LaLiga,33,A,FC Barcelona,(1.),Athletic Bilbao,Athletic  (14.),2:2,CF,67',1:1
LaLiga,34,H,FC Barcelona,(1.),Real Betis Balompié,Real Betis  (7.),4:2,CF,60',3:2
71',4:2,Left-footed shot,,,,,,,,
Season 13/14,,,,,,,,,,
LaLiga,1,H,FC Barcelona,(2.),Levante UD,Levante  (10.),7:0,CF,13',2:0
42',5:0,Penalty,,,,,,,,
LaLiga,3,A,FC Barcelona,(1.),Valencia CF,Valencia  (10.),2:3,CF,11',0:1
38',0:2,Right-footed shot,,,,,,,,
41',0:3,Left-footed shot,,,,,,,,
LaLiga,4,H,FC Barcelona,(1.),Sevilla FC,Sevilla FC  (16.),3:2,CF,75',2:0
UEFA Champions League,Gruppenphase,H,FC Barcelona,Ajax Amsterdam,Ajax,4:0,CF,22',1:0,Direct free kick
55',2:0,Left-footed shot,,,,,,,,
75',4:0,Left-footed shot,,,,,,,,
LaLiga,6,H,FC Barcelona,(1.),Real Sociedad,Real Sociedad  (7.),4:1,CF,8',2:0
LaLiga,7,A,FC Barcelona,(1.),UD Almería,UD Almería  (19.),0:2,CF,21',0:1
UEFA Champions League,Gruppenphase,A,FC Barcelona,AC Milan,AC Milan,1:1,CF,23',1:1,Left-footed shot
UEFA Champions League,Gruppenphase,H,FC Barcelona,AC Milan,AC Milan,3:1,CF,30',1:0,Penalty
83',3:1,Left-footed shot,,,,,,,,
Copa del Rey,Achtelfinale,H,FC Barcelona,Getafe CF,Getafe,4:0,CF,90',3:0,Left-footed shot
90'+2,4:0,Left-footed shot,,,,,,,,
Copa del Rey,Achtelfinale,A,FC Barcelona,Getafe CF,Getafe,0:2,CF,43',0:1,Right-footed shot
63',0:2,Left-footed shot,,,,,,,,
LaLiga,22,H,FC Barcelona,(1.),Valencia CF,Valencia  (10.),2:3,CF,54',2:2
LaLiga,23,A,FC Barcelona,(2.),Sevilla FC,Sevilla FC  (7.),1:4,CF,44',1:2
56',1:3,Left-footed shot,,,,,,,,
Copa del Rey,Halbfinale,A,FC Barcelona,Real Sociedad,Real Sociedad,1:1,CF,27',0:1,Solo run
LaLiga,24,H,FC Barcelona,(1.),Rayo Vallecano,Rayo Vallecano  (19.),6:0,CF,36',2:0
68',5:0,Left-footed shot,,,,,,,,
UEFA Champions League,Achtelfinale,A,FC Barcelona,Manchester City,Man City,0:2,CF,54',0:1,Penalty
LaLiga,25,A,FC Barcelona,(1.),Real Sociedad,Real Sociedad  (6.),3:1,CF,36',1:1
LaLiga,26,H,FC Barcelona,(2.),UD Almería,UD Almería  (15.),4:1,CF,24',2:0
UEFA Champions League,Achtelfinale,H,FC Barcelona,Manchester City,Man City,2:1,CF,67',1:0,Left-footed shot
LaLiga,28,H,FC Barcelona,(3.),CA Osasuna,CA Osasuna  (13.),7:0,CF,18',1:0
63',4:0,Left-footed shot,,,,,,,,
88',6:0,Right-footed shot,,,,,,,,
LaLiga,29,A,FC Barcelona,(3.),Real Madrid,Real Madrid  (1.),3:4,CF,42',2:2
65',3:3,Penalty,,,,,,,,
84',3:4,Penalty,,,,,,,,
LaLiga,30,H,FC Barcelona,(3.),Celta de Vigo,Celta de Vigo  (12.),3:0,CF,30',2:0
LaLiga,31,A,FC Barcelona,(2.),RCD Espanyol Barcelona,Espanyol  (8.),0:1,CF,77',0:1
LaLiga,32,H,FC Barcelona,(2.),Real Betis Balompié,Real Betis  (20.),3:1,CF,15',1:0
86',3:1,Penalty rebound,,,,,,,,
LaLiga,34,H,FC Barcelona,(3.),Athletic Bilbao,Athletic  (4.),2:1,CF,74',2:1
LaLiga,35,A,FC Barcelona,(2.),Villarreal CF,Villarreal  (7.),2:3,CF,83',2:3
LaLiga,36,H,FC Barcelona,(2.),Getafe CF,Getafe  (16.),2:2,CF,23',1:0
Season 14/15,,,,,,,,,,
LaLiga,1,H,FC Barcelona,(1.),Elche CF,Elche CF  (13.),3:0,CF,42',1:0
64',3:0,Left-footed shot,,,,,,,,
LaLiga,4,A,FC Barcelona,(1.),Levante UD,Levante  (19.),0:5,CF,77',0:5
LaLiga,6,H,FC Barcelona,(3.),Granada CF,Granada CF  (8.),6:0,CF,62',4:0
82',6:0,Right-footed shot,,,,,,,,
UEFA Champions League,Gruppenphase,A,FC Barcelona,Paris Saint-Germain,Paris SG,3:2,RW,12',1:1,Left-footed shot
LaLiga,7,A,FC Barcelona,(1.),Rayo Vallecano,Rayo Vallecano  (10.),0:2,CF,35',0:1
LaLiga,8,H,FC Barcelona,(1.),SD Eibar,SD Eibar  (10.),3:0,CF,74',3:0
UEFA Champions League,Gruppenphase,H,FC Barcelona,Ajax Amsterdam,Ajax,3:1,CF,24',2:0,Left-footed shot
UEFA Champions League,Gruppenphase,A,FC Barcelona,Ajax Amsterdam,Ajax,0:2,RW,36',0:1,Header
76',0:2,Left-footed shot,,,,,,,,
LaLiga,12,H,FC Barcelona,(2.),Sevilla FC,Sevilla FC  (5.),5:1,RW,21',1:0
73',4:1,Tap-in,,,,,,,,
78',5:1,Left-footed shot,,,,,,,,
UEFA Champions League,Gruppenphase,A,FC Barcelona,APOEL Nicosia,APOEL Nicosia,0:4,CF ,38',0:2,Right-footed shot
58',0:3,Right-footed shot,,,,,,,,
87',0:4,Right-footed shot,,,,,,,,
LaLiga,14,H,FC Barcelona,(2.),RCD Espanyol Barcelona,Espanyol  (12.),5:1,RW,45'+1,1:1
50',2:1,Right-footed shot,,,,,,,,
81',5:1,Right-footed shot,,,,,,,,
UEFA Champions League,Gruppenphase,H,FC Barcelona,Paris Saint-Germain,Paris SG,3:1,AM,19',1:1,Right-footed shot
LaLiga,16,H,FC Barcelona,(2.),Córdoba CF,Córdoba CF  (18.),5:0,RW,82',4:0
90',5:0,Right-footed shot,,,,,,,,
Copa del Rey,Achtelfinale,H,FC Barcelona,Elche CF,Elche CF,5:0,RW ,45',3:0,Penalty
LaLiga,18,H,FC Barcelona,(2.),Atlético de Madrid,Atlético Madrid  (3.),3:1,RW,87',3:1
LaLiga,19,A,FC Barcelona,(2.),Deportivo de La Coruña,Dep. La Coruña  (16.),0:4,RW,11',0:1
33',0:2,Left-footed shot,,,,,,,,
62',0:3,Left-footed shot,,,,,,,,
Copa del Rey,Viertelfinale,H,FC Barcelona,Atlético de Madrid,Atlético Madrid,1:0,RW ,85',1:0,Penalty rebound
LaLiga,20,A,FC Barcelona,(2.),Elche CF,Elche CF  (17.),0:6,CF,55',0:2
88',0:5,Left-footed shot,,,,,,,,
LaLiga,21,H,FC Barcelona,(2.),Villarreal CF,Villarreal  (6.),3:2,RW,55',3:2
LaLiga,22,A,FC Barcelona,(2.),Athletic Bilbao,Athletic  (12.),2:5,RW,15',0:1
Copa del Rey,Halbfinale,H,FC Barcelona,Villarreal CF,Villarreal,3:1,RW,41',1:0,Left-footed shot
LaLiga,23,H,FC Barcelona,(2.),Levante UD,Levante  (17.),5:0,CF,38',2:0
59',3:0,Right-footed shot,,,,,,,,
65',4:0,Penalty,,,,,,,,
LaLiga,25,A,FC Barcelona,(2.),Granada CF,Granada CF  (19.),1:3,RW,70',1:3
LaLiga,26,H,FC Barcelona,(2.),Rayo Vallecano,Rayo Vallecano  (11.),6:1,RW,56',3:0
63',4:0,Tap-in,,,,,,,,
68',5:0,Left-footed shot,,,,,,,,
LaLiga,27,A,FC Barcelona,(1.),SD Eibar,SD Eibar  (14.),0:2,RW ,31',0:1
55',0:2,Header,,,,,,,,
LaLiga,30,H,FC Barcelona,(1.),UD Almería,UD Almería  (19.),4:0,RW,33',1:0
LaLiga,31,A,FC Barcelona,(1.),Sevilla FC,Sevilla FC  (5.),2:2,RW,15',0:1
LaLiga,32,H,FC Barcelona,(1.),Valencia CF,Valencia  (4.),2:0,RW,90'+4,2:0
LaLiga,33,A,FC Barcelona,(1.),RCD Espanyol Barcelona,Espanyol  (9.),0:2,RW,25',0:2
LaLiga,34,H,FC Barcelona,(1.),Getafe CF,Getafe  (13.),6:0,RW,9',1:0
47',6:0,Left-footed shot,,,,,,,,
LaLiga,35,A,FC Barcelona,(1.),Córdoba CF,Córdoba CF  (20.),0:8,RW,47',0:3
80',0:6,Left-footed shot,,,,,,,,
UEFA Champions League,Halbfinale,H,FC Barcelona,Bayern Munich,Bayern Munich,3:0,RW,77',1:0,Left-footed shot
80',2:0,Right-footed shot,,,,,,,,
LaLiga,37,A,FC Barcelona,(1.),Atlético de Madrid,Atlético Madrid  (3.),0:1,RW,65',0:1
LaLiga,38,H,FC Barcelona,(1.),Deportivo de La Coruña,Dep. La Coruña  (17.),2:2,RW,5',1:0
59',2:0,Right-footed shot,,,,,,,,
Copa del Rey,Finale,A,FC Barcelona,Athletic Bilbao,Athletic,1:3,RW,20',0:1,Solo run
74',0:3,Left-footed shot,,,,,,,,
Season 15/16,,,,,,,,,,
UEFA Super Cup,Finale,H,FC Barcelona,Sevilla FC,Sevilla FC,5:4 AET,RW,7',1:1,Direct free kick
16',2:1,Direct free kick,,,,,,,,
Supercopa,Finale,H,FC Barcelona,Athletic Bilbao,Athletic,1:1,RW,43',1:0,Left-footed shot
LaLiga,3,A,FC Barcelona,(4.),Atlético de Madrid,Atlético Madrid  (3.),1:2,RW,77',1:2
LaLiga,4,H,FC Barcelona,(1.),Levante UD,Levante  (13.),4:1,SS ,61',3:0
90',4:1,Left-footed shot,,,,,,,,
UEFA Champions League,Gruppenphase,H,FC Barcelona,AS Roma,AS Roma,6:1,RW ,18',2:0,Left-footed shot
60',5:0,Tap-in,,,,,,,,
LaLiga,13,H,FC Barcelona,(1.),Real Sociedad,Real Sociedad  (14.),4:0,RW,90'+1,4:0
UEFA Champions League,Gruppenphase,A,FC Barcelona,Bayer 04 Leverkusen,B. Leverkusen,1:1,RW ,20',0:1,Right-footed shot
LaLiga,15,H,FC Barcelona,(1.),Deportivo de La Coruña,Dep. La Coruña  (6.),2:2,RW,39',1:0
FIFA Club World Cup,Finale,A,FC Barcelona,CA River Plate,River Plate,0:3,RW,36',0:1,Left-footed shot
LaLiga,17,H,FC Barcelona,(1.),Real Betis Balompié,Real Betis  (12.),4:0,RW ,33',2:0
Copa del Rey,Achtelfinale,H,FC Barcelona,RCD Espanyol Barcelona,Espanyol,4:1,RW,13',1:1,Left-footed shot
44',2:1,Direct free kick,,,,,,,,
LaLiga,19,H,FC Barcelona,(1.),Granada CF,Granada CF  (17.),4:0,RW ,8',1:0
14',2:0,Left-footed shot,,,,,,,,
58',3:0,Tap-in,,,,,,,,
LaLiga,20,H,FC Barcelona,(1.),Athletic Bilbao,Athletic  (8.),6:0,RW,7',1:0
LaLiga,21,A,FC Barcelona,(1.),Málaga CF,Málaga CF  (12.),1:2,RW,51',1:2
LaLiga,22,H,FC Barcelona,(1.),Atlético de Madrid,Atlético Madrid  (2.),2:1,RW,30',1:1
Copa del Rey,Halbfinale,H,FC Barcelona,Valencia CF,Valencia,7:0,RW,29',3:0,Left-footed shot
59',4:0,Left-footed shot,,,,,,,,
74',5:0,Left-footed shot,,,,,,,,
LaLiga,24,H,FC Barcelona,(1.),Celta de Vigo,Celta de Vigo  (7.),6:1,RW,28',1:0
LaLiga,16,A,FC Barcelona,(1.),Sporting Gijón,Sporting Gijón  (15.),1:3,RW ,25',0:1
31',1:2,Left-footed shot,,,,,,,,
UEFA Champions League,Achtelfinale,A,FC Barcelona,Arsenal FC,Arsenal,0:2,RW,71',0:1,Left-footed shot
83',0:2,Penalty,,,,,,,,
LaLiga,26,H,FC Barcelona,(1.),Sevilla FC,Sevilla FC  (5.),2:1,RW ,31',1:1
LaLiga,27,A,FC Barcelona,(1.),Rayo Vallecano,Rayo Vallecano  (16.),1:5,RW,23',0:2
53',0:3,Left-footed shot,,,,,,,,
72',1:4,Left-footed shot,,,,,,,,
LaLiga,28,A,FC Barcelona,(1.),SD Eibar,SD Eibar  (8.),0:4,RW ,42',0:2
76',0:3,Penalty,,,,,,,,
LaLiga,29,H,FC Barcelona,(1.),Getafe CF,Getafe  (16.),6:0,CF,41',4:0
UEFA Champions League,Achtelfinale,H,FC Barcelona,Arsenal FC,Arsenal,3:1,RW,86',3:1,Left-footed shot
LaLiga,33,H,FC Barcelona,(1.),Valencia CF,Valencia  (14.),1:2,RW,63',1:2
LaLiga,34,A,FC Barcelona,(1.),Deportivo de La Coruña,Dep. La Coruña  (13.),0:8,RW,73',0:6
LaLiga,35,H,FC Barcelona,(1.),Sporting Gijón,Sporting Gijón  (18.),6:0,RW,13',1:0
LaLiga,37,H,FC Barcelona,(1.),RCD Espanyol Barcelona,Espanyol  (14.),5:0,RW,8',1:0
Season 16/17,,,,,,,,,,
Supercopa,Finale,H,FC Barcelona,Sevilla FC,Sevilla FC,3:0,RW ,55',3:0,Header
LaLiga,1,H,FC Barcelona,(2.),Real Betis Balompié,Real Betis  (15.),6:2,RW ,37',2:1
58',5:1,Left-footed shot,,,,,,,,
UEFA Champions League,Gruppenphase,H,FC Barcelona,Celtic FC,Celtic,7:0,RW ,3',1:0,Left-footed shot
27',2:0,Left-footed shot,,,,,,,,
60',5:0,Left-footed shot,,,,,,,,
LaLiga,4,A,FC Barcelona,(5.),CD Leganés,CD Leganés  (11.),1:5,RW,15',0:1
55',0:4,Penalty,,,,,,,,
LaLiga,8,H,FC Barcelona,(4.),Deportivo de La Coruña,Dep. La Coruña  (13.),4:0,RW,58',4:0
UEFA Champions League,Gruppenphase,H,FC Barcelona,Manchester City,Man City,4:0,RW,17',1:0,Left-footed shot
61',2:0,Left-footed shot,,,,,,,,
69',3:0,Left-footed shot,,,,,,,,
LaLiga,9,A,FC Barcelona,(4.),Valencia CF,Valencia  (14.),2:3,RW,22',0:1
90'+4,2:3,Penalty,,,,,,,,
UEFA Champions League,Gruppenphase,A,FC Barcelona,Manchester City,Man City,3:1,RW ,21',0:1,Left-footed shot
LaLiga,11,A,FC Barcelona,(2.),Sevilla FC,Sevilla FC  (4.),1:2,RW ,43',1:1
UEFA Champions League,Gruppenphase,A,FC Barcelona,Celtic FC,Celtic,0:2,RW ,24',0:1,Left-footed shot
55',0:2,Penalty,,,,,,,,
LaLiga,13,A,FC Barcelona,(2.),Real Sociedad,Real Sociedad  (5.),1:1,RW ,59',1:1
UEFA Champions League,Gruppenphase,H,FC Barcelona,Borussia Mönchengladbach,Bor. M'gladbach,4:0,RW,16',1:0,Left-footed shot
LaLiga,15,A,FC Barcelona,(2.),CA Osasuna,CA Osasuna  (20.),0:3,RW,72',0:2
90'+2,0:3,Left-footed shot,,,,,,,,
LaLiga,16,H,FC Barcelona,(2.),RCD Espanyol Barcelona,Espanyol  (9.),4:1,RW,90',4:1
Copa del Rey,Achtelfinale,A,FC Barcelona,Athletic Bilbao,Athletic,2:1,RW,52',2:1,Direct free kick
LaLiga,17,A,FC Barcelona,(2.),Villarreal CF,Villarreal  (4.),1:1,RW,90',1:1
Copa del Rey,Achtelfinale,H,FC Barcelona,Athletic Bilbao,Athletic,3:1,RW,78',3:1,Direct free kick
LaLiga,18,H,FC Barcelona,(3.),UD Las Palmas,UD Las Palmas  (8.),5:0,RW ,52',2:0
LaLiga,19,A,FC Barcelona,(3.),SD Eibar,SD Eibar  (9.),0:4,RW ,50',0:2
Copa del Rey,Viertelfinale,H,FC Barcelona,Real Sociedad,Real Sociedad,5:2,RW ,55',2:0,Penalty
Copa del Rey,Halbfinale,A,FC Barcelona,Atlético de Madrid,Atlético Madrid,1:2,RW ,33',0:2,Left-footed shot
LaLiga,21,H,FC Barcelona,(2.),Athletic Bilbao,Athletic  (7.),3:0,RW ,40',2:0
LaLiga,22,A,FC Barcelona,(2.),Deportivo Alavés,Alavés  (12.),0:6,RW ,59',0:3
LaLiga,23,H,FC Barcelona,(2.),CD Leganés,CD Leganés  (17.),2:1,RW,4',1:0
90',2:1,Penalty,,,,,,,,
LaLiga,24,A,FC Barcelona,(2.),Atlético de Madrid,Atlético Madrid  (4.),1:2,RW,86',1:2
LaLiga,25,H,FC Barcelona,(2.),Sporting Gijón,Sporting Gijón  (18.),6:1,RW ,9',1:0
LaLiga,26,H,FC Barcelona,(2.),Celta de Vigo,Celta de Vigo  (10.),5:0,AM ,24',1:0
64',5:0,Left-footed shot,,,,,,,,
UEFA Champions League,Achtelfinale,H,FC Barcelona,Paris Saint-Germain,Paris SG,6:1,AM,50',3:0,Penalty
LaLiga,28,H,FC Barcelona,(2.),Valencia CF,Valencia  (13.),4:2,AM,45',2:1
53',3:2,Right-footed shot,,,,,,,,
LaLiga,30,H,FC Barcelona,(2.),Sevilla FC,Sevilla FC  (4.),3:0,RW,28',2:0
33',3:0,Left-footed shot,,,,,,,,
LaLiga,32,H,FC Barcelona,(2.),Real Sociedad,Real Sociedad  (6.),3:2,RW ,17',1:0
37',2:0,Tap-in,,,,,,,,
LaLiga,33,A,FC Barcelona,(2.),Real Madrid,Real Madrid  (1.),2:3,RW,33',1:1
90'+2,2:3,Left-footed shot,,,,,,,,
LaLiga,34,H,FC Barcelona,(2.),CA Osasuna,CA Osasuna  (20.),7:1,AM ,12',1:0
61',4:1,Left-footed shot,,,,,,,,
LaLiga,36,H,FC Barcelona,(2.),Villarreal CF,Villarreal  (5.),4:1,RW,45',2:1
82',4:1,Penalty,,,,,,,,
LaLiga,38,H,FC Barcelona,(2.),SD Eibar,SD Eibar  (8.),4:2,RW,75',3:2
90'+2,4:2,Right-footed shot,,,,,,,,
Copa del Rey,Finale,H,FC Barcelona,Deportivo Alavés,Alavés,3:1,RW,30',1:0,Left-footed shot
Season 17/18,,,,,,,,,,
Supercopa,Finale,H,FC Barcelona,Real Madrid,Real Madrid,1:3,RW,77',1:1,Penalty
LaLiga,2,A,FC Barcelona,(2.),Deportivo Alavés,Alavés  (16.),0:2,CF,55',0:1
66',0:2,Left-footed shot,,,,,,,,
LaLiga,3,H,FC Barcelona,(2.),RCD Espanyol Barcelona,Espanyol  (13.),5:0,CF,26',1:0
35',2:0,Right-footed shot,,,,,,,,
67',3:0,Left-footed shot,,,,,,,,
UEFA Champions League,Gruppenphase,H,FC Barcelona,Juventus FC,Juventus,3:0,CF,45',1:0,Left-footed shot
69',3:0,Left-footed shot,,,,,,,,
LaLiga,5,H,FC Barcelona,(1.),SD Eibar,SD Eibar  (10.),6:1,CF,21',1:0
59',4:1,Left-footed shot,,,,,,,,
62',5:1,Left-footed shot,,,,,,,,
87',6:1,Left-footed shot,,,,,,,,
LaLiga,7,H,FC Barcelona,(1.),UD Las Palmas,UD Las Palmas  (15.),3:0,SS,70',2:0
77',3:0,Left-footed shot,,,,,,,,
UEFA Champions League,Gruppenphase,H,FC Barcelona,Olympiacos Piraeus,Olympiacos,3:1,CF,61',2:0,Direct free kick
LaLiga,10,A,FC Barcelona,(1.),Athletic Bilbao,Athletic  (11.),0:2,SS ,37',0:1
LaLiga,14,H,FC Barcelona,(1.),Celta de Vigo,Celta de Vigo  (9.),2:2,SS,22',1:1
LaLiga,15,A,FC Barcelona,(1.),Villarreal CF,Villarreal  (6.),0:2,RW ,83',0:2
LaLiga,17,A,FC Barcelona,(1.),Real Madrid,Real Madrid  (3.),0:3,SS,64',0:2
LaLiga,18,H,FC Barcelona,(1.),Levante UD,Levante  (16.),3:0,SS,12',1:0
Copa del Rey,Achtelfinale,H,FC Barcelona,Celta de Vigo,Celta de Vigo,5:0,SS,13',1:0,Left-footed shot
15',2:0,Left-footed shot,,,,,,,,
LaLiga,19,A,FC Barcelona,(1.),Real Sociedad,Real Sociedad  (14.),2:4,SS ,85',2:4
LaLiga,20,A,FC Barcelona,(1.),Real Betis Balompié,Real Betis  (8.),0:5,SS ,64',0:2
80',0:4,Left-footed shot,,,,,,,,
Copa del Rey,Viertelfinale,H,FC Barcelona,RCD Espanyol Barcelona,Espanyol,2:0,SS,25',2:0,Deflected shot on goal
LaLiga,21,H,FC Barcelona,(1.),Deportivo Alavés,Alavés  (16.),2:1,SS,84',2:1
UEFA Champions League,Achtelfinale,A,FC Barcelona,Chelsea FC,Chelsea,1:1,SS,75',1:1,Left-footed shot
LaLiga,25,H,FC Barcelona,(1.),Girona FC,Girona  (8.),6:1,SS ,30',2:1
36',3:1,Direct free kick,,,,,,,,
LaLiga,26,A,FC Barcelona,(1.),UD Las Palmas,UD Las Palmas  (18.),1:1,SS,21',0:1
LaLiga,27,H,FC Barcelona,(1.),Atlético de Madrid,Atlético Madrid  (2.),1:0,SS,26',1:0
UEFA Champions League,Achtelfinale,H,FC Barcelona,Chelsea FC,Chelsea,3:0,SS,3',1:0,Right-footed shot
63',3:0,Left-footed shot,,,,,,,,
LaLiga,29,H,FC Barcelona,(1.),Athletic Bilbao,Athletic  (12.),2:0,SS ,30',2:0
LaLiga,30,A,FC Barcelona,(1.),Sevilla FC,Sevilla FC  (6.),2:2,RW,89',2:2
LaLiga,31,H,FC Barcelona,(1.),CD Leganés,CD Leganés  (12.),3:1,SS ,27',1:0
32',2:0,Left-footed shot,,,,,,,,
87',3:1,Left-footed shot,,,,,,,,
Copa del Rey,Finale,A,FC Barcelona,Sevilla FC,Sevilla FC,0:5,SS,31',0:2,Left-footed shot
LaLiga,35,A,FC Barcelona,(1.),Deportivo de La Coruña,Dep. La Coruña  (18.),2:4,SS ,38',0:2
82',2:3,Right-footed shot,,,,,,,,
85',2:4,Left-footed shot,,,,,,,,
LaLiga,36,H,FC Barcelona,(1.),Real Madrid,Real Madrid  (3.),2:2,SS,52',2:1
LaLiga,34,H,FC Barcelona,(1.),Villarreal CF,Villarreal  (6.),5:1,CF,45',3:0
Season 18/19,,,,,,,,,,
LaLiga,1,H,FC Barcelona,(1.),Deportivo Alavés,Alavés  (11.),3:0,RW ,64',1:0
90'+2,3:0,Left-footed shot,,,,,,,,
LaLiga,3,H,FC Barcelona,(2.),SD Huesca,SD Huesca  (5.),8:2,RW ,16',1:1
61',6:2,Left-footed shot,,,,,,,,
UEFA Champions League,Gruppenphase,H,FC Barcelona,PSV Eindhoven,PSV Eindhoven,4:0,RW ,31',1:0,Direct free kick
77',3:0,Left-footed shot,,,,,,,,
87',4:0,Right-footed shot,,,,,,,,
LaLiga,5,H,FC Barcelona,(1.),Girona FC,Girona  (3.),2:2,RW ,19',1:0
UEFA Champions League,Gruppenphase,A,FC Barcelona,Tottenham Hotspur,Tottenham,2:4,RW ,56',1:3,Left-footed shot
90',2:4,Left-footed shot,,,,,,,,
LaLiga,8,A,FC Barcelona,(1.),Valencia CF,Valencia  (13.),1:1,RW ,23',1:1
LaLiga,9,H,FC Barcelona,(2.),Sevilla FC,Sevilla FC  (1.),4:2,RW ,12',2:0
LaLiga,12,H,FC Barcelona,(1.),Real Betis Balompié,Real Betis  (14.),3:4,SS ,68',1:2
90'+4,3:4,Left-footed shot,,,,,,,,
UEFA Champions League,Gruppenphase,A,FC Barcelona,PSV Eindhoven,PSV Eindhoven,1:2,CF ,61',0:1,Left-footed shot
LaLiga,15,A,FC Barcelona,(1.),RCD Espanyol Barcelona,Espanyol  (7.),0:4,RW ,17',0:1
65',0:4,Direct free kick,,,,,,,,
LaLiga,16,A,FC Barcelona,(1.),Levante UD,Levante  (6.),0:5,SS ,43',0:2
47',0:3,Left-footed shot,,,,,,,,
60',0:4,Left-footed shot,,,,,,,,
LaLiga,17,H,FC Barcelona,(1.),Celta de Vigo,Celta de Vigo  (10.),2:0,RW ,45',2:0
LaLiga,18,A,FC Barcelona,(1.),Getafe CF,Getafe  (7.),1:2,RW ,20',0:1
LaLiga,19,H,FC Barcelona,(1.),SD Eibar,SD Eibar  (12.),3:0,RW ,53',2:0
Copa del Rey,Achtelfinale,H,FC Barcelona,Levante UD,Levante,3:0,CF ,54',3:0,Left-footed shot
LaLiga,20,H,FC Barcelona,(1.),CD Leganés,CD Leganés  (15.),3:1,SS,90'+2,3:1
LaLiga,21,A,FC Barcelona,(1.),Girona FC,Girona  (12.),0:2,RW ,69',0:2
Copa del Rey,Viertelfinale,H,FC Barcelona,Sevilla FC,Sevilla FC,6:1,RW ,90'+2,6:1,Left-footed shot
LaLiga,22,H,FC Barcelona,(1.),Valencia CF,Valencia  (7.),2:2,RW ,39',1:2
64',2:2,Left-footed shot,,,,,,,,
LaLiga,24,H,FC Barcelona,(1.),Real Valladolid CF,Real Valladolid  (15.),1:0,RW ,43',1:0
LaLiga,25,A,FC Barcelona,(1.),Sevilla FC,Sevilla FC  (4.),2:4,RW ,26',1:1
67',2:2,Right-footed shot,,,,,,,,
85',2:3,Left-footed shot,,,,,,,,
LaLiga,27,H,FC Barcelona,(1.),Rayo Vallecano,Rayo Vallecano  (19.),3:1,RW ,51',2:1
UEFA Champions League,Achtelfinale,H,FC Barcelona,Olympique Lyon,Olympique Lyon,5:1,RW ,18',1:0,Penalty
78',3:1,Right-footed shot,,,,,,,,
LaLiga,28,A,FC Barcelona,(1.),Real Betis Balompié,Real Betis  (8.),1:4,SS ,18',0:1
45'+2,0:2,Left-footed shot,,,,,,,,
85',1:4,Left-footed shot,,,,,,,,
LaLiga,29,H,FC Barcelona,(1.),RCD Espanyol Barcelona,Espanyol  (13.),2:0,RW ,71',1:0
89',2:0,Left-footed shot,,,,,,,,
LaLiga,30,A,FC Barcelona,(1.),Villarreal CF,Villarreal  (17.),4:4,RW,90',4:3
LaLiga,31,H,FC Barcelona,(1.),Atlético de Madrid,Atlético Madrid  (2.),2:0,SS ,87',2:0
UEFA Champions League,Viertelfinale,H,FC Barcelona,Manchester United,Man Utd,3:0,RW ,16',1:0,Left-footed shot
20',2:0,Right-footed shot,,,,,,,,
LaLiga,35,H,FC Barcelona,(1.),Levante UD,Levante  (15.),1:0,RW,62',1:0
UEFA Champions League,Halbfinale,H,FC Barcelona,Liverpool FC,Liverpool,3:0,RW ,75',2:0,Left-footed shot
82',3:0,Direct free kick,,,,,,,,
LaLiga,38,A,FC Barcelona,(1.),SD Eibar,SD Eibar  (12.),2:2,CF ,31',1:1
32',1:2,Left-footed shot,,,,,,,,
Copa del Rey,Finale,H,FC Barcelona,Valencia CF,Valencia,1:2,CF ,73',1:2,Left-footed shot
Season 19/20,,,,,,,,,,
LaLiga,8,H,FC Barcelona,(5.),Sevilla FC,Sevilla FC  (4.),4:0,RW ,78',4:0
LaLiga,9,A,FC Barcelona,(2.),SD Eibar,SD Eibar  (14.),0:3,RW ,58',0:2
UEFA Champions League,Gruppenphase,A,FC Barcelona,SK Slavia Prague,Slavia Prague,1:2,RW ,3',0:1,Left-footed shot
LaLiga,11,H,FC Barcelona,(2.),Real Valladolid CF,Real Valladolid  (8.),5:1,RW ,34',3:1
75',4:1,Left-footed shot,,,,,,,,
LaLiga,12,A,FC Barcelona,(1.),Levante UD,Levante  (11.),3:1,RW ,38',0:1
LaLiga,13,H,FC Barcelona,(1.),Celta de Vigo,Celta de Vigo  (18.),4:1,RW ,23',1:0
45'+1,2:1,Direct free kick,,,,,,,,
