Competition,Matchday,Venue,Team,Opponent,Opponent_Position,Result,Position,Minute,At_Score,Type_of_Goal
LaLiga,11,A,FC Barcelona,(1.),Recreativo Huelva,Recr. Huelva  (17.),0:2,RW,51',0:1
UEFA Champions League,Gruppenphase,A,FC Barcelona,Sporting CP,Sporting CP,2:5,RW,49',0:3,Left-footed shot
LaLiga,13,A,FC Barcelona,(1.),Sevilla FC,Sevilla FC  (5.),0:3,RW,78',0:2
90'+2,0:3,Left-footed shot,,,,,,,,
LaLiga,15,H,FC Barcelona,(1.),Real Madrid,Real Madrid  (5.),2:0,RW,89',2:0
Copa del Rey,Achtelfinale,A,FC Barcelona,Atlético de Madrid,Atlético Madrid,1:3,RW,11',0:1,Left-footed shot
57',0:2,Penalty,,,,,,,,
79',1:3,Right-footed shot,,,,,,,,
LaLiga,18,A,FC Barcelona,(1.),CA Osasuna,CA Osasuna  (20.),2:3,RW,84',2:3
LaLiga,19,H,FC Barcelona,(1.),Deportivo de La Coruña,Dep. La Coruña  (7.),5:0,RW,21',1:0
LaLiga,20,H,FC Barcelona,(1.),CD Numancia,CD Numancia  (17.),4:1,RW,49',1:0
76',4:1,Right-footed shot,,,,,,,,
LaLiga,21,A,FC Barcelona,(1.),Racing Santander,Racing  (9.),1:2,RW,65',1:1
81',1:2,Right-footed shot,,,,,,,,
LaLiga,25,A,FC Barcelona,(1.),Atlético de Madrid,Atlético Madrid  (7.),4:3,RW,30',0:2
Copa del Rey,Halbfinale,A,FC Barcelona,RCD Mallorca,RCD Mallorca,1:1,RW,81',1:1,Left-footed shot
LaLiga,26,H,FC Barcelona,(1.),Athletic Bilbao,Athletic  (11.),2:0,RW,31',2:0
UEFA Champions League,Achtelfinale,H,FC Barcelona,Olympique Lyon,Olympique Lyon,5:2,RW,40',3:0,Left-footed shot
LaLiga,28,H,FC Barcelona,(1.),Málaga CF,Málaga CF  (6.),6:0,RW,26',2:0
UEFA Champions League,Viertelfinale,H,FC Barcelona,Bayern Munich,Bayern Munich,4:0,RW,9',1:0,Left-footed shot
38',3:0,Right-footed shot,,,,,,,,
LaLiga,31,A,FC Barcelona,(1.),Getafe CF,Getafe  (14.),0:1,RW,18',0:1
LaLiga,33,A,FC Barcelona,(1.),Valencia CF,Valencia  (4.),2:2,RW,23',0:1
LaLiga,34,A,FC Barcelona,(1.),Real Madrid,Real Madrid  (2.),2:6,CF,35',1:3
75',2:5,Left-footed shot,,,,,,,,
Copa del Rey,Finale,H,FC Barcelona,Athletic Bilbao,Athletic,4:1,RW,55',2:1,Left-footed shot
UEFA Champions League,Finale,H,FC Barcelona,Manchester United,Man Utd,2:0,RW,70',2:0,Header
Season 09/10,,,,,,,,,,
Supercopa,Finale,H,FC Barcelona,Athletic Bilbao,Athletic,3:0,RW,50',1:0,Right-footed shot
68',2:0,Penalty,,,,,,,,
LaLiga,2,A,FC Barcelona,(2.),Getafe CF,Getafe  (1.),0:2,RW,78',0:2
LaLiga,3,H,FC Barcelona,(1.),Atlético de Madrid,Atlético Madrid  (17.),5:2,RW,15',2:0
90'+3,5:2,Right-footed shot,,,,,,,,
LaLiga,4,A,FC Barcelona,(2.),Racing Santander,Racing  (10.),1:4,RW,23',0:2
63',0:4,Left-footed shot,,,,,,,,
UEFA Champions League,Gruppenphase,H,FC Barcelona,Dynamo Kyiv,Dynamo Kyiv,2:0,RW,25',1:0,Left-footed shot
LaLiga,8,H,FC Barcelona,(1.),Real Zaragoza,Real Zaragoza  (13.),6:1,RW,80',5:1
LaLiga,10,H,FC Barcelona,(1.),RCD Mallorca,RCD Mallorca  (5.),4:2,RW,86',4:1
Copa del Rey,4.Runde,H,FC Barcelona,Cultural Leonesa,CyD Leonesa,5:0,RW,64',4:0,Left-footed shot
LaLiga,13,A,FC Barcelona,(1.),Deportivo de La Coruña,Dep. La Coruña  (5.),1:3,RW,26',0:1
80',1:2,Header,,,,,,,,
UEFA Champions League,Gruppenphase,A,FC Barcelona,Dynamo Kyiv,Dynamo Kyiv,1:2,RW,86',1:2,Direct free kick
FIFA Club World Cup,Halbfinale,A,FC Barcelona,CF Atlante,Atlante,1:3,RW,55',1:2,Left-footed shot
FIFA Club World Cup,Finale,A,FC Barcelona,Club Estudiantes de La Plata,Estudiantes LP,1:2 AET,RW,110',1:2,Chest
LaLiga,17,A,FC Barcelona,(1.),CD Tenerife,CD Tenerife  (17.),0:5,RW,36',0:1
45',0:3,Right-footed shot,,,,,,,,
75',0:4,Left-footed shot,,,,,,,,
LaLiga,18,H,FC Barcelona,(1.),Sevilla FC,Sevilla FC  (5.),4:0,RW,85',3:0
90'+1,4:0,Left-footed shot,,,,,,,,
LaLiga,19,A,FC Barcelona,(1.),Real Valladolid CF,Real Valladolid  (17.),0:3,RW,54',0:3
